01.07.2016;район Косино-Ухтомский;Лухмановская улица, дом 34;Оксид углерода;0.24
01.07.2016;район Новокосино;Салтыковская улица, дом 7, корпус 2;Оксид углерода;0.36
01.07.2016;район Раменки;Ленинские Горы, дом 1, строение 27;Оксид углерода;0.32
01.07.2016;район Тропарёво-Никулино;улица Академика Анохина, дом 38, корпус 1;Оксид углерода;0.34
01.07.2016;Можайский район;улица Толбухина, дом 10, корпус 4;Оксид углерода;0.3
01.07.2016;район Савёлки;город Зеленоград, корпус 623;Оксид углерода;0.33
01.07.2016;район Силино;город Зеленоград, корпус 1140;Оксид углерода;0.27
01.07.2016;район Крюково;город Зеленоград, корпус 1606;Оксид углерода;0.54
01.07.2016;поселение Сосенское;деревня Николо-Хованское, дом 99, корпус 6;Оксид углерода;0.26
01.07.2016;поселение Щербинка;г .Щербинка, город Щербинка, Пушкинская улица, дом 6;Оксид углерода;0.43
01.07.2016;район Аэропорт;Ленинградский проспект, дом 64;Оксид углерода;0.76
01.07.2016;Дмитровский район;Карельский бульвар, дом 14/16;Оксид углерода;0.39
01.07.2016;район Коптево;Коптевский бульвар, дом 16, корпус 1, строение 1;Оксид углерода;0.39
01.07.2016;Савёловский район;улица Нижняя Масловка, дом 10;Оксид углерода;0.94
01.07.2016;район Сокол;Светлый проезд, дом 12;Оксид углерода;0.44
01.07.2016;Останкинский район;улица Академика Королёва, дом 15А;Оксид углерода;0.36
01.07.2016;район Хорошёво-Мнёвники;улица Народного Ополчения, дом 21, корпус 1;Оксид углерода;0.32
01.07.2016;район Северное Тушино;Туристская улица, дом 18;Оксид углерода;0.1
01.07.2016;поселение Роговское;посёлок Рогово, Школьная улица, дом 17;Оксид углерода;0.26
01.07.2016;поселение Троицк;г. Троицк, город Троицк, улица Текстильщиков, дом 4;Оксид углерода;0.25
01.07.2016;поселение Новофедоровское;деревня Яковлевское, дом 125;Оксид углерода;0.33
01.07.2016;поселение Вороновское;деревня Семенково, Центральная улица, дом 75;Оксид углерода;0.18
